Variable,met_data,mean_CC,mean_rmse,mean_class_error,mean_mcc,mean_ROC_AUC
TP,metno,0.5687410277066818,3.981166828362601,0.3302631578947368,0.335970930309861,0.66625
TP,nomet,0.5687410277066818,3.981166828362601,0.3302631578947368,0.335970930309861,0.66625
chla,metno,0.5479732176244254,4.760753198965786,0.3355263157894737,0.05512330421548452,0.5214646464646466
chla,nomet,0.5449054573218706,4.749772540081794,0.318421052631579,0.08239173378895026,0.5308080808080807
colour,metno,0.8471725209763324,8.750650697493876,0.22499999999999995,0.49503044572774646,0.7450000000000002
colour,nomet,0.8242223793673775,9.324050621083511,0.23684210526315788,0.4647749768357824,0.7276923076923079
cyano,metno,0.3765257314787404,1.9172527091441567,0.3130434782608697,0.49154625090106113,0.7000000000000002
cyano,nomet,0.47946298839326085,1.7582707999234828,0.32608695652173914,0.47195303872828037,0.6875000000000001
