Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,colour_lake_prevSummer,Temp_prevSummer
1983-04-30,501.956671457,1.4813156777900554,3.7281767955801084,60.945000081,124.07178240000002,,38.0,34.0,68.0,14.0,44.0,72.0,77.0,48.0,458.4747891999999,13.190845644298918,3.818478260869565,523.4133245720001,39.51512639999999,64.0,18.0,19.0,52.0,82.0,43.0,26.666666666666668,13.190845644298918
1984-04-30,241.62506241500012,-0.10813009620879097,4.027472527472527,46.183876075000015,73.56631679999998,87.88235294117646,26.25,28.0,45.0,5.0,35.0,64.0,90.0,58.0,466.63105234799997,13.283700343679342,4.247282608695653,524.3061095990001,47.97783360000001,63.0,14.0,13.0,49.0,94.0,55.0,17.625,13.283700343679342
1999-04-30,493.07983717999986,0.4584551942983423,3.1480662983425423,46.680982415,130.62435840000003,109.83333333333333,,65.11764705882354,71.0,19.0,55.0,97.0,53.0,38.0,519.2802700179999,12.224183755978263,3.504347826086956,507.10184049199967,54.544060800000004,77.0,15.0,12.0,62.0,62.0,26.0,,12.224183755978263
2000-04-30,432.2594072609999,1.809360691994505,3.8197802197802195,68.73090670799999,97.34497920000005,116.46153846153847,,63.80769230769231,61.0,10.0,36.0,72.0,70.0,46.0,630.476421443,12.939059789179353,3.5331521739130474,516.6124132259998,73.31238720000002,70.0,23.0,31.0,63.0,66.0,37.0,50.42307692307692,12.939059789179353
2001-04-30,756.2078073090003,0.6066048821823214,3.0751381215469595,57.353370128000016,201.6097344000001,108.6875,,87.04,88.0,29.0,59.0,98.0,55.0,38.0,617.6580098779999,13.102658030711957,3.5771739130434783,510.8421770849992,58.05276479999998,76.0,20.0,16.0,62.0,70.0,34.0,42.56,13.102658030711957
2002-04-30,311.76998462599994,1.2871893846298341,3.4790055248618788,68.75412629199998,71.82216000000004,54.30769230769231,,67.26923076923077,53.0,8.0,42.0,74.0,65.0,39.0,511.777686395,13.59602419134782,3.634239130434782,529.4805287509998,53.74460160000003,68.0,17.0,25.0,55.0,64.0,33.0,68.70370370370371,13.59602419134782
2003-04-30,361.1620905480001,-1.0451591231104966,3.1320441988950276,43.199518551999994,63.554371199999984,63.63636363636363,,50.083333333333336,45.0,15.0,59.0,94.0,57.0,32.0,549.788892476,13.814745476793473,3.2624999999999984,544.6833483399997,49.46616000000002,57.0,18.0,37.0,84.0,58.0,29.0,54.57692307692308,13.814745476793473
2004-04-30,434.04431533800016,1.4660198886978022,3.0654411764705873,65.658289932,68.05010879999998,143.25,,37.333333333333336,66.0,13.0,41.0,68.0,38.0,19.0,415.38032154800004,13.169746600766302,3.51413043478261,530.13461866,28.508976000000015,66.0,9.0,22.0,60.0,66.0,29.0,42.875,13.169746600766302
2005-04-30,260.24612498100004,1.640844404662983,3.4874999999999994,58.482995173999996,56.37444480000001,57.875,28.0,60.166666666666664,47.0,8.0,44.0,76.0,57.0,39.0,558.396489496,13.211288605853264,3.5264705882352962,525.5537280710003,46.34746559999999,70.0,21.0,23.0,63.0,63.0,27.0,38.666666666666664,13.211288605853264
2006-04-30,409.594880087,-0.08298276326519301,3.116022099447515,48.19910226999999,86.78888639999998,50.2,,55.050000000000004,68.0,9.0,50.0,92.0,54.0,32.0,471.9703400909999,13.310148989135872,3.4666666666666663,526.1864627010002,30.0219264,67.0,18.0,23.0,58.0,62.0,23.0,46.5,13.310148989135872
2007-04-30,559.81845263,3.2218843125414374,3.6165745856353624,95.52840350299999,149.0893344,108.07142857142857,34.0,73.8,69.0,17.0,32.0,70.0,72.0,42.0,535.903365983,15.044658084092392,3.071038251366119,560.7157833019997,46.327248,67.0,20.0,27.0,92.0,47.0,17.0,48.333333333333336,15.044658084092392
2008-04-30,602.152476094,2.5371100874835157,3.5311111111111093,75.40659560700001,154.0257984,177.61904761904762,51.333333333333336,76.55555555555556,69.0,18.0,35.0,69.0,68.0,39.0,555.647754243,13.5132286063587,3.3950276243093924,527.5181678240003,51.279609600000065,66.0,17.0,32.0,78.0,58.0,35.0,65.71428571428571,13.5132286063587
2009-04-30,327.0334382599999,1.1662348732265193,2.807734806629833,67.279581451,105.25559039999997,66.25,37.5,64.85714285714286,50.0,11.0,57.0,105.0,45.0,21.0,591.631903338,13.63429212655434,3.0983146067415737,532.506991371,58.01906880000002,61.0,25.0,35.0,91.0,46.0,22.0,69.0,13.63429212655434
2010-04-30,385.18761947999985,-1.3352368824254148,2.8082872928176785,55.97323290799999,100.23428160000002,90.5909090909091,33.0,67.5,59.0,14.0,56.0,104.0,39.0,19.0,489.80945449599994,13.424088789777178,3.2211956521739125,530.1172976800001,39.68922240000001,64.0,13.0,35.0,75.0,56.0,23.0,58.285714285714285,13.424088789777178
2011-04-30,256.402740425,-1.710648817265194,2.9209944751381216,58.64117576499999,67.44263040000001,68.21052631578948,31.0,75.76470588235294,43.0,6.0,57.0,101.0,50.0,24.0,564.4885336280003,13.099051878380427,3.274863387978141,524.107976553,64.63316160000002,66.0,20.0,35.0,74.0,57.0,20.0,61.714285714285715,13.099051878380427
