Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,Temp_prevSummer
1980-10-31,579.5702680559999,13.090169910929351,3.3418478260869575,528.9441547979994,87.71016959999997,86.4,43.57301587333334,83.0,16.0,33.0,80.0,57.0,27.0,summ,,-3.086261674991667,2.848333333333331,,,,,,,,,,
1981-10-31,494.7301565279999,12.59997121174457,3.4885869565217407,515.460388872,61.4633184,,28.833333335,61.0,17.0,30.0,68.0,68.0,35.0,summ,244.503964794,-0.8937205036574589,3.413812154696131,36.98938665399999,69.85327679999999,39.0,5.0,41.0,68.0,64.0,38.0,43.57301587333334,13.090169910929351
1982-10-31,458.4747891999999,13.190845644298918,3.818478260869565,523.4133245720001,39.51512639999999,45.5,26.988095237142858,64.0,18.0,19.0,52.0,82.0,43.0,summ,366.125942502,-1.877037558182322,3.3602209944751382,49.29855099000001,96.42888,60.0,10.0,47.0,82.0,69.0,41.0,28.833333335,12.59997121174457
1983-10-31,466.63105234799997,13.283700343679342,4.247282608695653,524.3061095990001,47.97783360000001,,29.781250000000004,63.0,14.0,13.0,49.0,94.0,55.0,summ,501.956671457,1.4813156777900554,3.7281767955801084,60.945000081,124.07178240000002,68.0,14.0,44.0,72.0,77.0,48.0,26.988095237142858,13.190845644298918
1984-10-31,561.4720653099998,13.326956515369565,3.796739130434784,525.907513579,51.51090239999998,137.6642857142857,27.158333333333335,76.0,21.0,10.0,53.0,75.0,36.0,summ,241.62506241500012,-0.10813009620879097,4.027472527472527,46.183876075000015,73.56631679999998,45.0,5.0,35.0,64.0,90.0,58.0,29.781250000000004,13.283700343679342
1985-10-31,548.3746134810001,12.465199497652181,3.6440217391304377,507.75827945600014,95.43052800000002,107.29411764705883,30.957142858571427,75.0,18.0,29.0,72.0,72.0,44.0,summ,390.26504946200004,-1.7421515805966843,3.2033149171270723,40.35311993499998,106.74581759999998,62.0,12.0,50.0,83.0,63.0,32.0,27.158333333333335,13.326956515369565
1986-10-31,429.2712837579999,12.202529926271728,4.122282608695657,503.504316194,,106.97142857142856,33.78888889,64.0,13.0,16.0,47.0,95.0,55.0,summ,343.33934932200003,-3.0924409166464075,3.512154696132597,28.43307455,27.737337599999996,53.0,10.0,53.0,78.0,70.0,46.0,30.957142858571427,12.465199497652181
1987-10-31,708.3290053490002,11.587688747271738,3.451630434782609,487.4252892889995,,112.41923076923078,23.433333333333334,85.0,21.0,27.0,69.0,62.0,25.0,summ,389.16522635099994,-1.9156692656298333,3.4502762430939202,57.20747432100003,,60.0,9.0,49.0,82.0,67.0,43.0,33.78888889,12.202529926271728
1988-10-31,649.2830377570002,13.400832995086951,3.4869565217391325,523.9881009949997,,48.73469387755101,29.533333333333335,74.0,22.0,26.0,67.0,64.0,35.0,summ,550.765753121,0.3342298075109888,3.278571428571429,34.273999260000004,,79.0,18.0,51.0,82.0,64.0,34.0,23.433333333333334,11.587688747271738
1989-10-31,390.368071209,12.86889156920109,3.772826086956523,503.7450417649999,,46.3,27.057142857142853,59.0,11.0,21.0,57.0,80.0,44.0,summ,345.4128824849999,2.24047625135359,3.618232044198895,80.00489963,,55.0,7.0,37.0,65.0,73.0,42.0,29.533333333333335,13.400832995086951
