,60
Wind_over_Q0.8,-0.31457116429475673
Wind_speed,-0.2523143296917054
Wind_over_Q0.6,-0.22572738469630108
Rain_day,-0.09159440922567032
Q,-0.0520520449482335
Pptn,-0.013601239413234018
colour_lake,0.08368261196011363
Pptn_intense,0.08720354348398046
Temp,0.13014919485567894
Wind_under_Q0.2,0.15732683671641357
Wind_under_Q0.4,0.16396833078003153
TP_lake,0.33521166122046736
