,60
Rain_day,-0.45463508498631694
Pptn,-0.3908615329750394
colour_lake,-0.3774032684986336
Wind_over_Q0.8,-0.22494632058964256
Pptn_intense,-0.21855868644600296
Wind_over_Q0.6,-0.20126858490251376
Q,-0.18750371219138437
Wind_speed,-0.11688470042955687
Temp,-0.024500169514845124
Wind_under_Q0.4,0.014710933421620742
Wind_under_Q0.2,0.27090686227178346
chl-a_lake,0.48123503200790446
TP_lake,0.6086900555224176
