Date,Pptn,Temp,Wind_speed,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,colour_lake_prevSummer,chl-a_lake_prevSummer,Temp_prevSummer,CyanoBiovol_prevSummer
1980-04-30,,-2.949841694075,2.856666666666667,,130.0,3.971428571,45.25,,,,,,,,,,wint,,,,,,,,,,,,,,,
1980-10-31,579.570268056,13.006020472059783,3.3244565217391306,87.6034656,86.4,16.080129870272728,43.57301587333333,,,83.0,16.0,34,81,56,27,6,summ,,-2.949841694075,2.856666666666667,,,,,,,,,,,,
1981-04-30,244.713838582,-0.8444469776574586,3.432044198895028,69.3909504,,,,,,39.0,5.0,40,67,65,38,95,wint,579.570268056,13.006020472059783,3.3244565217391306,87.6034656,83.0,16.0,34,81,56,27,43.57301587333333,,16.080129870272728,13.006020472059783,
1981-10-31,494.52028274,12.57408117484239,3.479891304347826,61.60674240000001,,8.33125,28.833333335,,,61.0,17.0,30,69,67,35,0,summ,244.713838582,-0.8444469776574586,3.432044198895028,69.3909504,39.0,5.0,40,67,65,38,43.57301587333333,,16.080129870272728,13.006020472059783,
1982-04-30,371.084443638,-1.856861872359116,3.383977900552486,96.5539008,69.0,1.1,46.25,,,61.0,10.0,47,81,70,42,92,wint,494.52028274,12.57408117484239,3.479891304347826,61.60674240000001,61.0,17.0,30,69,67,35,28.833333335,,8.33125,12.57408117484239,
1982-10-31,460.222076644,13.213325928777174,3.7907608695652173,38.9536128,45.5,5.975,26.988095237142858,26.666666666666668,,64.0,18.0,20,53,81,42,0,summ,371.084443638,-1.856861872359116,3.383977900552486,96.5539008,61.0,10.0,47,81,70,42,28.833333335,,8.33125,12.57408117484239,
1983-04-30,496.410470246,1.4819967076519336,3.732596685082873,124.07178240000002,,1.9,38.0,34.0,,68.0,14.0,43,72,77,48,56,wint,460.222076644,13.213325928777174,3.7907608695652173,38.9536128,64.0,18.0,20,53,81,42,26.988095237142858,26.666666666666668,5.975,13.213325928777174,
1983-10-31,465.471464979,13.281862290086956,4.259239130434782,48.269174400000004,,6.050000000000001,29.78125,17.625,,62.0,14.0,13,48,95,55,0,summ,496.410470246,1.4819967076519336,3.732596685082873,124.07178240000002,68.0,14.0,43,72,77,48,26.988095237142858,26.666666666666668,5.975,13.213325928777174,
1984-04-30,241.625062415,-0.07466263810989009,4.012637362637363,73.80218880000001,87.88235294117646,,26.25,28.0,,45.0,5.0,36,65,89,58,93,wint,465.471464979,13.281862290086956,4.259239130434782,48.269174400000004,62.0,14.0,13,48,95,55,29.78125,17.625,6.050000000000001,13.281862290086956,
1984-10-31,561.657519956,13.295249645282608,3.8114130434782605,50.9836896,137.66428571428574,11.09,26.527499999999996,,,76.0,21.0,9,52,76,36,0,summ,241.625062415,-0.07466263810989009,4.012637362637363,73.80218880000001,45.0,5.0,36,65,89,58,29.78125,17.625,6.050000000000001,13.281862290086956,
1985-04-30,390.347824575,-1.755400620801105,3.2088397790055248,107.9777952,177.56363636363636,,,,,62.0,12.0,50,83,63,33,87,wint,561.657519956,13.295249645282608,3.8114130434782605,50.9836896,76.0,21.0,9,52,76,36,26.527499999999996,,11.09,13.295249645282608,
1985-10-31,548.106383722,12.44724176147826,3.6331521739130435,94.1985504,100.54545454545455,11.895238094714285,30.957142858571427,34.404761904285714,,75.0,18.0,29,72,71,43,0,summ,390.347824575,-1.755400620801105,3.2088397790055248,107.9777952,62.0,12.0,50,83,63,33,26.527499999999996,,11.09,13.295249645282608,
