,CyanoBiovol,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,4.8,1996-09-03,247.0,65.427332168,17.938042168709675,3.0967741935483875,108.37985154499998,14.033000000000001,47.8,22.8,34.2,14.5,7.0,3.0,6.0,12.0,9.0,4.0,0.0
1997,2.82,1997-09-02,245.0,85.231265445,19.958075101612902,3.003225806451613,121.05204813900001,10.366,43.739999999999995,27.2,30.85,17.0,9.0,3.0,5.0,14.0,6.0,2.0,0.0
1998,2.28,1998-08-26,238.0,90.36629307899999,14.751591753225805,3.3225806451612905,102.13162477300001,32.934,65.36,28.7,42.7,,16.0,2.0,3.0,14.0,11.0,3.0,0.0
1999,5.96,1999-09-05,248.0,76.56985164599999,15.006570516129035,3.4967741935483874,99.13575158200001,25.754,41.224999999999994,,,44.5,7.0,2.0,3.0,9.0,8.0,5.0,0.0
2000,4.67,2000-08-16,229.0,63.904375306000006,16.54545304967742,3.232258064516129,110.80290030300002,45.403,41.2,22.6,38.5,37.75,10.0,2.0,1.0,11.0,7.0,1.0,0.0
2001,0.58,2001-08-29,241.0,95.20983335099999,16.005482288387096,3.551612903225806,105.94305566399997,43.289,56.0,29.2,34.5,73.4,11.0,4.0,3.0,10.0,11.0,4.0,0.0
2002,0.982,2002-06-25,176.0,123.067339294,16.099888444838708,3.512903225806451,118.679450111,84.316,33.0,18.0,36.0,61.4,14.0,4.0,1.0,9.0,10.0,4.0,0.0
2003,1.291,2003-08-13,225.0,86.61629057200001,19.91038540322581,3.1935483870967736,129.68507888800002,20.361,73.0,26.5,27.5,45.0,9.0,4.0,5.0,14.0,8.0,2.0,0.0
2004,5.26,2004-06-29,181.0,86.39536707699999,14.336692738064514,4.04516129032258,112.23972180800001,24.955000000000005,,35.0,33.0,44.0,14.0,3.0,2.0,3.0,18.0,7.0,0.0
