,CyanoBiovol,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
2005,3.0625999999999998,2005-08-15,227.0,139.279504547,17.674682856229513,3.2627118644067803,246.069567152,45.407000000000004,32.25,31.0,33.0,47.0,19.0,5.0,8.0,21.0,20.0,5.0,0.0
2006,4.5602,2006-08-07,219.0,121.69575488400001,18.737983943934427,3.5295081967213116,257.512935035,26.776999999999997,,47.0,35.333333333333336,52.5,14.0,5.0,4.0,22.0,23.0,9.0,0.0
2007,3.588,2007-07-02,183.0,201.496887641,14.313941350786887,3.451666666666666,207.19038426999998,193.62300000000002,107.5,24.0,33.0,70.5,25.0,7.0,6.0,24.0,17.0,11.0,0.0
2008,0.739,2008-08-04,217.0,221.33831582099998,16.75924594295082,3.328333333333333,249.98062002499998,89.143,44.888888888888886,35.0,32.77777777777778,57.5,22.0,10.0,6.0,22.0,22.0,7.0,0.0
2009,1.586,2009-08-03,215.0,196.041951182,16.835257622278686,3.0704918032786876,244.19763578799999,43.94199999999999,30.88888888888889,28.0,30.625,51.5,29.0,4.0,7.0,27.0,14.0,2.0,0.0
2010,0.224,2010-08-09,221.0,172.10002256900003,16.979757246065574,3.593442622950819,247.85070462,83.59700000000001,46.142857142857146,24.0,29.88888888888889,62.333333333333336,22.0,5.0,3.0,19.0,23.0,8.0,0.0
2011,0.079,2011-07-11,192.0,214.89548052499998,14.984028248983606,3.6229508196721305,217.42345265099996,216.49200000000002,45.0,21.0,25.25,70.11111111111111,29.0,8.0,5.0,20.0,25.0,11.0,0.0
2012,0.211,2012-09-24,268.0,185.06955813500002,14.534473009590164,3.7704918032786883,180.57438745099995,245.781,61.25,15.0,26.22222222222222,64.22222222222223,25.0,6.0,1.0,16.0,26.0,13.0,0.0
2013,0.534,2013-09-20,263.0,139.666334205,15.998350343213115,3.152459016393443,194.17697162800002,30.49,46.4,30.0,25.05,50.84,20.0,3.0,9.0,26.0,14.0,6.0,0.0
2014,0.283,2014-07-24,205.0,76.62269368000001,17.461788109999997,3.4189655172413795,251.921539018,33.75,39.2,17.0,21.610000000000003,44.36,21.0,2.0,1.0,23.0,17.0,9.0,0.0
2015,0.233,2015-08-05,217.0,192.513169874,15.427829112622952,3.775409836065574,228.97147403699998,108.527,40.0,28.0,22.0,45.5,25.0,5.0,1.0,16.0,28.0,8.0,0.0
2016,0.166,2016-08-29,242.0,218.72300653899998,16.539804903278693,3.739344262295081,226.843459667,68.99400000000001,71.6,16.0,19.5,48.333333333333336,28.0,8.0,2.0,12.0,25.0,10.0,0.0
2017,0.258,2017-08-28,240.0,184.933780911,16.38366883622951,3.7622950819672125,226.388043068,98.188,42.25,21.0,19.0,37.0,23.0,6.0,2.0,15.0,26.0,13.0,0.0
2018,0.614,2018-08-27,239.0,49.37815929599999,19.237960192950823,3.850819672131147,,7.902,,13.0,20.8,34.0,12.0,0.0,0.0,12.0,26.0,11.0,0.0
