,CyanoBiovol,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,4.8,1996-09-03,247.0,78.791992245,17.059761983278683,3.504918032786886,225.96675725999998,31.177000000000003,61.4625,22.8,34.300000000000004,16.0,11.0,3.0,7.0,19.0,23.0,8.0,0.0
1997,2.82,1997-09-02,245.0,140.379446014,19.42391699163934,2.959016393442623,255.056410716,23.233999999999995,42.06666666666667,27.2,32.0,16.333333333333332,18.0,6.0,9.0,28.0,9.0,3.0,0.0
1998,2.28,1998-08-26,238.0,178.32728376,15.08636295262295,3.406557377049181,218.02309145000004,92.197,58.15555555555555,28.7,37.76666666666666,,32.0,3.0,5.0,22.0,21.0,7.0,0.0
1999,5.96,1999-09-05,248.0,124.73719748699999,16.629778352295084,3.575409836065574,220.107037533,98.739,42.52499999999999,,,45.5,12.0,4.0,4.0,15.0,18.0,9.0,0.0
2000,4.67,2000-08-16,229.0,166.679224283,15.798794499836065,3.481967213114754,223.657005469,73.75,39.22222222222222,22.6,37.333333333333336,42.375,26.0,5.0,2.0,19.0,20.0,6.0,0.0
2001,0.58,2001-08-29,241.0,198.01293492899998,16.91785992819672,3.6934426229508195,229.90577655,68.255,74.25,29.2,40.0,73.11111111111111,23.0,8.0,5.0,16.0,25.0,10.0,0.0
2002,0.982,2002-06-25,176.0,188.97950243200003,14.05135085095082,3.763934426229508,197.11625381300001,190.027,37.4,18.0,36.0,63.55555555555556,23.0,7.0,3.0,13.0,28.0,11.0,0.0
2003,1.291,2003-08-13,225.0,180.97866043300002,18.475161517213113,3.318032786885246,258.783839019,63.097,64.0,26.5,28.0,46.666666666666664,23.0,5.0,6.0,22.0,17.0,5.0,0.0
2004,5.26,2004-06-29,181.0,114.878239655,13.334126565622952,3.894545454545455,196.671966801,91.177,,35.0,33.0,37.5,20.0,4.0,4.0,10.0,28.0,9.0,0.0
