,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1991,15.1,1991-08-05,217.0,166.318694302,14.561354202714286,3.946153846153846,,36.128571428571426,26.9,22.4,,27.0,4.0,12.0,28.0,40.0,30.0,0.0
1992,25.0,1992-09-13,257.0,255.765419472,15.17863258765933,4.024175824175825,,59.65714285714285,31.620000000000005,18.0,,38.0,8.0,9.0,17.0,48.0,22.0,0.0
1993,21.3,1993-08-02,214.0,202.94568094000002,14.097961803516482,3.780219780219782,,38.69,26.939999999999998,27.0,,33.0,5.0,2.0,21.0,41.0,13.0,0.0
1994,30.6,1994-08-10,222.0,68.352923289,16.21407093269231,3.9901098901098897,18.055999999999994,28.571428571428573,29.880000000000003,29.4,,12.0,2.0,2.0,18.0,48.0,18.0,0.0
1995,40.5,1995-08-16,228.0,203.98890002000002,16.00109959024176,3.5087912087912088,241.84099999999998,94.72,29.65,27.25,,32.0,6.0,10.0,27.0,32.0,14.0,0.0
1996,32.6,1996-07-01,183.0,169.302937559,9.619504951296703,3.6230769230769235,411.485,181.77692307692308,28.950000000000003,21.0,1.83,29.0,4.0,12.0,33.0,35.0,17.0,1.0
1997,29.5,1997-07-03,184.0,146.488455483,10.707056953912083,3.7626373626373635,193.96600000000004,37.253846153846155,27.25,23.5,1.85,24.0,5.0,8.0,28.0,38.0,21.0,0.0
1998,28.7,1998-08-26,238.0,280.26780762199996,14.663858601318678,3.545054945054946,154.792,52.823076923076925,33.1,,2.28,45.0,8.0,6.0,31.0,33.0,13.0,0.0
1999,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,40.4,2000-08-29,242.0,233.916306537,15.050487234021979,3.606593406593407,145.67899999999997,38.76923076923077,33.6,43.45454545454545,4.67,37.0,7.0,3.0,28.0,32.0,14.0,0.0
2001,29.2,2001-08-08,220.0,229.01555205699998,15.337096344010988,3.886813186813188,153.38299999999998,65.0,42.25,73.3076923076923,0.551,27.0,8.0,5.0,16.0,39.0,17.0,0.0
2002,38.0,2002-08-28,240.0,290.540651926,17.843521213296707,3.167032967032964,299.3380000000001,50.166666666666664,37.8,55.69230769230769,0.982,32.0,10.0,19.0,44.0,24.0,12.0,0.0
2003,26.5,2003-07-23,204.0,278.69791934500006,14.199691915274723,3.692307692307693,335.146,71.33333333333333,31.333333333333332,49.0,1.119,45.0,6.0,5.0,23.0,38.0,16.0,0.0
2004,53.0,2004-06-30,182.0,177.006747636,11.348910491681318,3.6835294117647055,228.04399999999998,,42.0,37.5,5.26,29.0,6.0,8.0,23.0,39.0,11.0,0.0
2005,31.0,2005-07-04,185.0,156.06230656499997,11.081274040604397,3.642528735632185,210.63,44.166666666666664,27.833333333333332,53.333333333333336,2.6669,27.0,5.0,4.0,30.0,35.0,15.0,0.0
2006,57.0,2006-09-04,247.0,271.158376345,18.07925055000001,3.279120879120879,53.397999999999996,,34.07142857142857,45.0,4.5602,32.0,11.0,12.0,40.0,30.0,10.0,0.0
2007,26.0,2007-07-16,197.0,355.418334655,13.874764844285712,3.3677777777777766,407.273,105.77272727272727,32.92307692307692,71.0,3.588,40.0,10.0,9.0,39.0,24.0,15.0,0.0
2008,35.0,2008-07-28,210.0,225.23663138999999,15.155525402791213,3.1122222222222238,137.91599999999997,39.0,35.46153846153846,58.333333333333336,0.559,23.0,11.0,10.0,45.0,25.0,9.0,0.0
2009,28.0,2009-06-22,173.0,121.51070218999999,10.26283535549451,3.34945054945055,614.62,62.27272727272727,29.875,67.75,1.438,23.0,3.0,11.0,32.0,25.0,9.0,4.0
2010,24.0,2010-06-28,179.0,186.019487832,10.544470102087912,3.0833333333333335,627.7670000000002,78.35714285714286,27.0,65.25,0.093,25.0,6.0,12.0,40.0,18.0,4.0,0.0
2011,21.0,2011-07-04,185.0,235.07103377599998,12.822584225934063,3.331868131868133,633.892,57.733333333333334,26.09090909090909,70.61538461538461,0.042,30.0,9.0,10.0,43.0,28.0,13.0,0.0
2012,28.0,2012-06-11,163.0,175.87721826900002,8.816660891472527,3.3988764044943816,41.73199999999999,64.26666666666667,27.333333333333332,65.6923076923077,0.005,27.0,6.0,8.0,35.0,24.0,9.0,0.0
2013,30.0,2013-08-05,217.0,258.840586401,16.18113822761539,3.7857142857142856,517.5740000000001,51.666666666666664,23.3,68.2625,0.36,35.0,6.0,3.0,17.0,45.0,11.0,0.0
2014,17.0,2014-06-10,161.0,163.398195673,9.578177983747251,3.5483516483516486,268.432,56.07692307692308,20.25,58.825,0.113,25.0,5.0,8.0,37.0,29.0,18.0,0.0
2015,34.0,2015-08-19,231.0,283.79027145000003,14.839259016329672,3.9527472527472507,274.41300000000007,51.875,22.714285714285715,47.0,0.233,35.0,9.0,2.0,22.0,46.0,18.0,0.0
2016,16.0,2016-08-15,228.0,279.09019595399997,16.20889544912087,3.8120879120879114,78.538,58.0,18.928571428571427,52.0,0.163,37.0,9.0,2.0,18.0,41.0,17.0,0.0
2017,21.0,2017-07-31,212.0,184.27286060900002,14.849318701362638,3.7736263736263727,221.748,32.285714285714285,19.142857142857142,43.333333333333336,0.232,36.0,5.0,2.0,23.0,37.0,17.0,0.0
2018,16.0,2018-10-08,281.0,195.961010589,15.870763599648349,4.084615384615383,25.526,,19.0,30.0,0.614,29.0,5.0,3.0,20.0,44.0,25.0,0.0
