,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,27.1,1980-09-02,246.0,144.16922236899998,16.273205656393444,3.0524590163934424,223.11384266900006,116.66799999999999,72.5,48.207619048000005,,,26.0,2.0,9.0,28.0,11.0,4.0,0.0
1981,11.525,1981-09-01,244.0,121.858388462,15.925330723114753,3.2737704918032784,219.86096474299995,118.842,,36.66666667,,,12.0,3.0,9.0,23.0,21.0,6.0,0.0
1982,10.5,1982-08-18,230.0,92.76964124000001,17.868332657704915,3.6000000000000005,247.18520980200003,23.027,57.0,30.166666665,,,14.0,3.0,4.0,21.0,24.0,11.0,0.0
1983,10.8,1983-07-26,207.0,108.85661581499998,15.812233991147542,4.177049180327869,236.366910563,101.216,,31.266666666666666,13.333333333333334,,17.0,4.0,4.0,13.0,36.0,17.0,0.0
1984,20.975,1984-08-29,242.0,125.137399364,16.601316674098364,3.4540983606557374,224.50709969200003,80.28499999999998,63.46666666666667,31.25,,,21.0,2.0,3.0,23.0,17.0,8.0,0.0
1985,21.3,1985-08-26,238.0,287.33187956000006,15.781781554918032,3.849180327868852,224.736429002,359.10800000000006,76.71111111111112,31.555555556666665,29.61111111,,35.0,10.0,9.0,24.0,28.0,21.0,0.0
1986,17.33333333,1986-07-22,203.0,58.817636562,15.80606448704918,4.662295081967214,244.41602888100005,,31.5,33.333333333333336,31.444444446666665,,14.0,0.0,2.0,5.0,42.0,23.0,0.0
1987,13.9,1987-08-26,238.0,181.951813567,15.183271935081965,3.459016393442623,218.121934658,,77.86666666666666,24.96666666666667,30.722222223333333,,28.0,6.0,5.0,22.0,19.0,6.0,0.0
1988,17.36666667,1988-08-29,242.0,346.34078998,15.96938325704918,3.683606557377049,220.45208359900002,,57.25833333333333,33.5,33.22222222,,37.0,12.0,6.0,23.0,24.0,13.0,0.0
1989,42.7,1989-08-07,219.0,142.427011343,16.98105075819672,4.1524590163934425,236.319673318,,41.400000000000006,22.599999999999998,20.333333333333332,,16.0,4.0,2.0,12.0,28.0,17.0,0.0
1990,23.1,1990-08-06,218.0,162.855646382,16.669020332295084,3.9786885245901638,237.490546202,,51.654545454545456,30.3,18.666666666666668,,25.0,6.0,1.0,12.0,34.0,12.0,0.0
1991,15.1,1991-08-05,217.0,163.89629666,16.250934416065572,3.501639344262295,230.67260871000002,,40.64,29.066666666666663,20.333333333333332,,27.0,4.0,11.0,22.0,20.0,15.0,0.0
1992,25.0,1992-09-13,257.0,215.16792723199995,14.378206821426229,3.9229508196721308,191.76849119500002,,70.3,29.86666666666667,16.0,,33.0,7.0,8.0,14.0,30.0,14.0,0.0
