,CyanoBiovol,peak_date,peak_day,Pptn,Temp,Wind_speed,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
2006,4.5602,2006-08-07,219.0,197.85196217299998,16.539626518076926,3.4285714285714293,169.492,,47.0,32.23076923076923,54.333333333333336,24.0,9.0,6.0,34.0,31.0,12.0,0.0
2007,3.588,2007-07-02,183.0,245.77120335,12.369175597494504,3.458888888888888,261.05499999999995,102.04545454545455,24.0,32.916666666666664,71.0,31.0,8.0,6.0,37.0,27.0,16.0,0.0
2008,0.739,2008-08-04,217.0,237.93841971599997,15.700774914219785,3.066666666666667,124.82,38.53846153846154,35.0,35.30769230769231,58.333333333333336,26.0,11.0,11.0,45.0,24.0,8.0,0.0
2009,1.586,2009-08-03,215.0,242.58885555,15.5061313630989,3.293406593406593,84.49100000000001,30.928571428571427,28.0,29.272727272727273,59.333333333333336,37.0,6.0,11.0,34.0,26.0,8.0,0.0
2010,0.224,2010-08-09,221.0,232.863149671,15.932803540736256,3.336666666666666,210.90900000000002,73.45454545454545,24.0,27.846153846153847,62.8,29.0,7.0,8.0,33.0,25.0,8.0,0.0
2011,0.079,2011-07-11,192.0,244.51589850999997,13.542786005879119,3.260439560439561,447.46799999999996,50.23076923076923,21.0,26.09090909090909,70.53846153846153,31.0,9.0,13.0,44.0,26.0,11.0,0.0
2012,0.211,2012-09-24,268.0,276.59293337899993,15.102692361043957,3.7956043956043968,384.253,60.36363636363637,26.0,26.692307692307693,63.92307692307692,42.0,8.0,3.0,25.0,40.0,21.0,0.0
2013,0.534,2013-09-20,263.0,210.940539854,16.383484595560446,3.402197802197801,222.582,43.0,30.0,25.185714285714287,54.39999999999999,27.0,5.0,9.0,31.0,31.0,10.0,0.0
2014,0.283,2014-07-24,205.0,142.756810581,15.315326348263728,3.371590909090908,98.075,36.142857142857146,17.0,21.942857142857143,50.7,30.0,3.0,2.0,34.0,25.0,10.0,0.0
2015,0.233,2015-08-05,217.0,323.08429792400005,13.615590074054944,4.09010989010989,304.463,68.625,28.0,22.285714285714285,48.333333333333336,40.0,10.0,1.0,18.0,51.0,20.0,0.0
2016,0.166,2016-08-29,242.0,290.371175638,16.657647917582413,3.7065934065934054,84.94500000000001,61.42857142857143,16.0,19.571428571428573,49.5,36.0,10.0,2.0,19.0,36.0,15.0,0.0
2017,0.258,2017-08-28,240.0,269.06276307499996,15.961156544285716,3.79230769230769,192.138,37.142857142857146,21.0,17.714285714285715,39.0,39.0,9.0,2.0,21.0,40.0,18.0,0.0
2018,0.614,2018-08-27,239.0,92.80500293099999,18.84294431945054,3.8637362637362638,17.074,,13.0,19.714285714285715,37.333333333333336,21.0,1.0,0.0,16.0,38.0,15.0,0.0
