,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,27.1,1980-09-02,246.0,95.809626265,15.006380481290323,3.2290322580645165,99.109972203,59.07,70.0,55.838095236666675,,,14.0,2.0,3.0,13.0,6.0,3.0,0.0
1981,11.525,1981-09-01,244.0,16.799190163,15.22682860483871,3.080645161290322,100.551350044,32.362,,46.66666667,,,3.0,0.0,6.0,12.0,8.0,2.0,0.0
1982,10.5,1982-08-18,230.0,34.448855209,19.26531488354839,3.7193548387096778,122.03606875299998,5.8740000000000006,57.0,23.33333333,,,4.0,1.0,0.0,10.0,13.0,7.0,0.0
1983,10.8,1983-07-26,207.0,70.692225622,17.358322436451616,3.861290322580645,130.119126327,15.232999999999999,,34.2,10.0,,10.0,3.0,2.0,11.0,17.0,5.0,0.0
1984,20.975,1984-08-29,242.0,50.699213011000005,16.80595141290323,3.0387096774193547,105.76778526599999,21.229,50.4,30.375,,,12.0,1.0,2.0,16.0,5.0,3.0,0.0
1985,21.3,1985-08-26,238.0,172.49375406099998,15.509324115806452,3.938709677419354,104.60822592400001,205.77600000000004,86.15,28.9,29.25,,22.0,6.0,5.0,11.0,15.0,12.0,0.0
1986,17.33333333,1986-07-22,203.0,26.140594918000005,17.636177689032255,4.425806451612904,129.407105702,,36.6,35.900000000000006,29.66666667,,5.0,0.0,0.0,3.0,21.0,6.0,0.0
1987,13.9,1987-08-26,238.0,118.34342950800001,13.726058866451615,3.3354838709677415,98.97053884700001,,105.03999999999999,23.299999999999997,33.75,,16.0,5.0,4.0,11.0,8.0,2.0,0.0
1988,17.36666667,1988-08-29,242.0,149.96576644700005,15.230154672903224,3.4322580645161294,100.38903087599999,,63.25,30.1,35.166666665,,20.0,5.0,4.0,13.0,8.0,5.0,0.0
1989,42.7,1989-08-07,219.0,109.668710107,16.63027287516129,3.900000000000001,118.50201897299996,,45.900000000000006,16.5,22.5,,12.0,3.0,2.0,6.0,13.0,9.0,0.0
1990,23.1,1990-08-06,218.0,46.177027899,17.770663342580644,3.9806451612903224,120.34418493699998,,59.019999999999996,31.9,19.5,,7.0,2.0,0.0,7.0,17.0,7.0,0.0
1991,15.1,1991-08-05,217.0,68.599129803,18.735136018064512,3.2354838709677423,128.36347648000003,,48.833333333333336,32.2,22.5,,11.0,2.0,7.0,13.0,8.0,7.0,0.0
1992,25.0,1992-09-13,257.0,110.78552584,12.56048258151613,3.7225806451612895,80.879459,,96.48333333333333,25.950000000000003,15.0,,18.0,4.0,5.0,10.0,14.0,6.0,0.0
1993,21.3,1993-08-02,214.0,115.434880058,14.813452796774193,3.7935483870967732,115.52192316600001,,36.45,33.8,29.0,,17.0,4.0,2.0,8.0,14.0,6.0,0.0
1994,30.6,1994-08-10,222.0,16.530574317000003,20.391511201935486,3.5645161290322585,135.152451936,1.3530000000000002,29.5,33.7,22.5,,4.0,0.0,0.0,10.0,8.0,3.0,0.0
1995,40.5,1995-08-16,228.0,30.294417119000002,18.187466390967742,3.241935483870967,121.67406571599999,20.648,79.35,36.65,25.0,,7.0,0.0,3.0,11.0,8.0,4.0,0.0
