,CyanoBiovol,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,4.8,1996-09-03,247.0,48.068811753000006,17.26147051,2.666666666666666,46.93689000700001,10.348,78.9,16.9,35.0,11.0,6.0,2.0,6.0,6.0,3.0,0.0,0.0
1997,2.82,1997-09-02,245.0,80.523644908,18.975258435333334,3.186666666666667,53.047830323,6.259,29.950000000000003,21.7,29.2,16.0,7.0,3.0,1.0,6.0,4.0,1.0,0.0
1998,2.28,1998-08-26,238.0,68.855162513,13.796797442000004,3.4933333333333327,46.183101990999994,23.948999999999995,93.35,28.7,41.1,,9.0,2.0,0.0,6.0,6.0,2.0,0.0
1999,5.96,1999-09-05,248.0,66.55593142299999,15.220823834666668,3.88,44.657112968999996,19.145,38.9,,,44.0,3.0,2.0,1.0,3.0,5.0,4.0,0.0
2000,4.67,2000-08-16,229.0,21.403499110999995,15.862682571333334,3.426666666666667,50.666785591,20.593999999999998,39.0,22.6,37.0,35.0,4.0,0.0,1.0,4.0,4.0,1.0,0.0
2001,0.58,2001-08-29,241.0,25.603101071,16.280272281333332,3.4266666666666667,47.051235554,25.530999999999995,40.0,13.6,35.0,74.5,4.0,1.0,2.0,7.0,5.0,3.0,0.0
2002,0.982,2002-06-25,176.0,53.466703407,15.877830733333333,3.966666666666667,61.117307624000006,31.903999999999996,22.0,,,59.5,8.0,1.0,0.0,1.0,7.0,3.0,0.0
2003,1.291,2003-08-13,225.0,18.904930713,19.944045189333334,3.113333333333333,59.281969461,13.486999999999998,41.0,13.7,30.0,45.0,2.0,1.0,2.0,7.0,4.0,0.0,0.0
2004,5.26,2004-06-29,181.0,75.128071568,13.421638179333332,3.7399999999999998,56.320659699000004,18.935000000000002,,,,,11.0,3.0,2.0,2.0,7.0,2.0,0.0
2005,3.0625999999999998,2005-08-15,227.0,34.422952147,16.358708876,3.373333333333333,55.285890939000005,13.832,3.0,30.0,35.666666666666664,44.0,7.0,0.0,2.0,5.0,6.0,2.0,0.0
