,0
Wind_over_Q0.8,-0.4689612435934113
Wind_speed,-0.44641734364871066
Wind_over_Q0.6,-0.4321859444162673
Wind_over_Q0.6_lag1,-0.2819657555246812
Wind_over_Q0.8_lag1,-0.2585419151298486
Wind_speed_lag1,-0.1626676475835995
Wind_under_Q0.2_lag1,-0.1610298018676409
Rain_day_lag1,0.13033517592848318
Wind_under_Q0.2,0.1442678435521069
Wind_under_Q0.4_lag1,0.1516041793019333
Temp_lag1,0.16047204169655852
Pptn_lag1,0.22097071333362434
Pptn_intense_lag1,0.26085508562628756
Wind_under_Q0.4,0.2820194065084802
Q_lag1,0.31341526903341393
Temp,0.3516923281127462
Rain_day,0.3777251804784
Temp_prevSummer,0.417754096955261
Q,0.4461380496064443
Pptn_intense,0.4469388909371832
Pptn,0.522042496952778
colour_lake_prevSummer,0.8560891075706545
