,0
Wind_over_Q0.6,-0.5111711387055405
Wind_speed,-0.5090729051162444
Wind_over_Q0.8,-0.48840707382805215
Wind_over_Q0.6_lag1,-0.2926968273722425
TP_catch,-0.277072858217884
Wind_over_Q0.8_lag1,-0.2355612606179028
Wind_speed_lag1,-0.22453033984795231
Q,-0.11853621821720296
Rain_day,-0.05602588495634786
Q_lag1,-0.045299023669981155
Pptn,0.004496721033067226
Pptn_intense_lag1,0.023695526717840348
colour_lake_prevSummer,0.05616169308773398
Pptn_lag1,0.06146216405976347
Pptn_intense,0.06582139320842859
Rain_day_lag1,0.06989884152527776
Temp_prevSummer,0.11510949106434791
Temp_lag1,0.15462170657574065
colour_lake,0.15612134131191818
Wind_under_Q0.4_lag1,0.156642994635814
Wind_under_Q0.2_lag1,0.16213769293894098
Temp,0.21959690030441434
Wind_under_Q0.2,0.29424142728145836
TP_lake_prevSummer,0.3146490157105115
Wind_under_Q0.4,0.41106684964259516
TP_lake,0.5778680309324407
chl-a_lake_prevSummer,0.6498680956794479
